Dataset	FeaturePermutation_bestK	FeaturePermutation_best2K
ring+xor+sum_6_1000	1.0	1.0
ring+xor+sum_8_1000	0.8333333333333331	1.0
ring+xor+sum_16_1000	0.6944444444444445	0.8055555555555555
ring+xor+sum_32_1000	0.6944444444444443	0.75
ring+xor+sum_64_1000	0.5555555555555555	0.611111111111111
ring+xor+sum_128_1000	0.47222222222222227	0.5
ring+xor+sum_256_1000	0.3333333333333333	0.3333333333333333
ring+xor+sum_512_1000	0.3333333333333333	0.3611111111111111
ring+xor+sum_1024_1000	0.3333333333333333	0.3333333333333333
ring+xor+sum_2048_1000	0.3055555555555555	0.3055555555555555
