Dataset	IG_noMul_bestK	IG_noMul_best2K
ring+xor+sum_6_1000	1.0	1.0
ring+xor+sum_8_1000	0.8888888888888888	1.0
ring+xor+sum_16_1000	0.75	0.9166666666666666
ring+xor+sum_32_1000	0.6666666666666666	0.7777777777777777
ring+xor+sum_64_1000	0.6666666666666666	0.7777777777777778
ring+xor+sum_128_1000	0.4166666666666667	0.4444444444444444
ring+xor+sum_256_1000	0.3611111111111111	0.4166666666666667
ring+xor+sum_512_1000	0.3333333333333333	0.3333333333333333
ring+xor+sum_1024_1000	0.3333333333333333	0.3333333333333333
ring+xor+sum_2048_1000	0.3333333333333333	0.3333333333333333
