Dataset	ShapleyValueSampling_bestK	ShapleyValueSampling_best2K
ring+xor+sum_6_1000	1.0	1.0
ring+xor+sum_8_1000	0.861111111111111	1.0
ring+xor+sum_16_1000	0.75	0.8333333333333334
ring+xor+sum_32_1000	0.6388888888888888	0.7777777777777778
ring+xor+sum_64_1000	0.5277777777777778	0.5277777777777778
ring+xor+sum_128_1000	0.47222222222222227	0.5277777777777778
ring+xor+sum_256_1000	0.3055555555555555	0.3055555555555555
ring+xor+sum_512_1000	0.3333333333333333	0.3333333333333333
ring+xor+sum_1024_1000	0.19444444444444442	0.24999999999999997
ring+xor+sum_2048_1000	0.24999999999999997	0.24999999999999997
