Dataset	CancelOut_Sigmoid_bestK	CancelOut_Sigmoid_best2K	CancelOut_Sigmoid_TrainAUC	CancelOut_Sigmoid_TrainAUPRC	CancelOut_Sigmoid_AUC	CancelOut_Sigmoid_AUPRC
ring+xor+sum_6_500	1.0	1.0	0.7459943258392983	0.7619445508507433	0.7106363652184187	0.7456655507907376
ring+xor+sum_8_500	0.8611111111111112	1.0	0.798558266652623	0.8328163506720448	0.7611360005384088	0.8089110753990164
ring+xor+sum_16_500	0.5833333333333333	0.8055555555555555	0.7793916325559443	0.8211416608873195	0.7298285926054118	0.7846961130830256
ring+xor+sum_32_500	0.5555555555555555	0.75	0.7917362341276556	0.8012866920228143	0.6074137719570328	0.6111709723964793
ring+xor+sum_64_500	0.611111111111111	0.7222222222222222	0.9152917972786354	0.9103317819349533	0.6281893098889219	0.6402605261265747
ring+xor+sum_128_500	0.47222222222222215	0.5277777777777778	0.9522085465579172	0.9480512196146497	0.5937643434946724	0.6047169624250733
ring+xor+sum_256_500	0.27777777777777773	0.3055555555555555	0.925020787583537	0.9048572055778993	0.5050074862855476	0.48315430500221823
ring+xor+sum_512_500	0.24999999999999997	0.3055555555555555	0.9611857671932619	0.9533087929997567	0.5783945610485335	0.5886680794653795
ring+xor+sum_1024_500	0.24999999999999997	0.3055555555555555	0.9699661666676512	0.9653152407661562	0.554375398400305	0.5399847482908658
ring+xor+sum_2048_500	0.24999999999999997	0.27777777777777773	0.9789277049702033	0.9775363681842065	0.4734846600399472	0.48659725300500334
