Dataset	CancelOut_Sigmoid_bestK	CancelOut_Sigmoid_best2K	CancelOut_Sigmoid_TrainAUC	CancelOut_Sigmoid_TrainAUPRC	CancelOut_Sigmoid_AUC	CancelOut_Sigmoid_AUPRC
ring+xor_4_1000	1.0	1.0	0.8219136503413372	0.8820089557631697	0.819089499004091	0.879317203527962
ring+xor_8_1000	0.5	1.0	0.8134834681919387	0.8646557448911881	0.7959707932032952	0.852311559258561
ring+xor_16_1000	0.5833333333333334	0.75	0.8270483989573721	0.860640324780693	0.7745745635414393	0.8232234594468363
ring+xor_32_1000	0.625	0.7083333333333334	0.8669392552596641	0.8851959946431768	0.7420372593711718	0.783263825516754
ring+xor_64_1000	0.5416666666666666	0.7083333333333334	0.9009411103517353	0.8984741353792643	0.6139423219645672	0.6489046307625278
ring+xor_128_1000	0.3333333333333333	0.4583333333333333	0.9030148089016059	0.9054522089445102	0.5369517794253865	0.5758851888298401
ring+xor_256_1000	0.0	0.041666666666666664	0.8851441768957709	0.8703462557909082	0.5137320467820193	0.5250793391006013
ring+xor_512_1000	0.0	0.0	0.9030159245576787	0.8960612334597875	0.5468801002154083	0.5721098226876862
ring+xor_1024_1000	0.0	0.0	0.9209646223035182	0.9218695076036162	0.5026909727737626	0.5463802375059554
ring+xor_2048_1000	0.0	0.0	0.9593722094489373	0.9573584694618754	0.485266383831594	0.5100518840688782
