Dataset	CancelOut_Sigmoid_bestK	CancelOut_Sigmoid_best2K	CancelOut_Sigmoid_TrainAUC	CancelOut_Sigmoid_TrainAUPRC	CancelOut_Sigmoid_AUC	CancelOut_Sigmoid_AUPRC
ring_2_500	1.0	1.0	0.6033942256838458	0.6064085400026423	0.5089497449182836	0.5377412013658723
ring_4_500	0.8333333333333334	1.0	0.6088330441569393	0.5837397247576457	0.5512266334065433	0.5543521218906818
ring_8_500	0.5833333333333334	0.75	0.6270600265983974	0.6005974635095561	0.5515173991189845	0.5457638877705507
ring_16_500	0.25	0.3333333333333333	0.6348595326294414	0.620464280887918	0.49409797214579454	0.5259141831453326
ring_32_500	0.16666666666666666	0.3333333333333333	0.7119155757121228	0.6896714080414235	0.5066337392357768	0.5472475297133356
ring_64_500	0.08333333333333333	0.08333333333333333	0.932537636875109	0.9138491544952201	0.46526075441727194	0.5230940479812481
ring_128_500	0.0	0.0	0.9250855217732082	0.9076070541394072	0.5373349595395016	0.5614768630776575
ring_256_500	0.0	0.0	0.9488702624796258	0.930953333826776	0.4523506065180411	0.4481152854596877
ring_512_500	0.0	0.0	0.9517672996735854	0.9400367829799406	0.4668628948160957	0.47081333335771386
ring_1024_500	0.0	0.0	0.9675877652504804	0.958305511053393	0.5207020149621099	0.5856549557259362
ring_2048_500	0.0	0.0	0.9792759355545962	0.9805781153700878	0.5180865111819182	0.5385287527658419
