Dataset	CancelOut_Softmax_bestK	CancelOut_Softmax_best2K	CancelOut_Softmax_TrainAUC	CancelOut_Softmax_TrainAUPRC	CancelOut_Softmax_AUC	CancelOut_Softmax_AUPRC
ring+xor+sum_6_1000	1.0	1.0	0.6825854702666021	0.7094554629632087	0.6753262864044346	0.7051158430658925
ring+xor+sum_8_1000	0.8333333333333334	1.0	0.7099869026923761	0.7371398847520362	0.7109187691866833	0.7385166450487807
ring+xor+sum_16_1000	0.3055555555555555	0.6944444444444445	0.6518820392846307	0.6532210888999898	0.6107377267144655	0.624445560602692
ring+xor+sum_32_1000	0.16666666666666666	0.2777777777777778	0.6333963475622164	0.6448656071995239	0.5926719340974056	0.6134911705964301
ring+xor+sum_64_1000	0.19444444444444442	0.25	0.6099451048942437	0.6246676236824191	0.5295440775606496	0.5594539878461907
ring+xor+sum_128_1000	0.19444444444444442	0.25	0.5979265152323411	0.6010013266729909	0.5355815480370516	0.5513696579974463
ring+xor+sum_256_1000	0.13888888888888887	0.13888888888888887	0.5761132783490509	0.5717701595179655	0.5124804887242558	0.5298105114738988
ring+xor+sum_512_1000	0.05555555555555555	0.08333333333333333	0.5397710112747572	0.5442320488567126	0.5340479481279296	0.545720860776309
ring+xor+sum_1024_1000	0.08333333333333333	0.08333333333333333	0.5273422442184129	0.5241128072411742	0.4839542974935734	0.4906467518780602
ring+xor+sum_2048_1000	0.027777777777777776	0.027777777777777776	0.5094673551355363	0.48007394481866106	0.5144850533450984	0.4861942594091104
