Dataset	CancelOut_Softmax_bestK	CancelOut_Softmax_best2K	CancelOut_Softmax_TrainAUC	CancelOut_Softmax_TrainAUPRC	CancelOut_Softmax_AUC	CancelOut_Softmax_AUPRC
ring+xor_4_1000	1.0	1.0	0.6132836012510631	0.665892556248731	0.5990625933607994	0.6605225707803527
ring+xor_8_1000	0.4166666666666667	1.0	0.5134121057267094	0.5466753177713012	0.4991573268447758	0.5410555031608827
ring+xor_16_1000	0.20833333333333334	0.5416666666666666	0.5344035079617959	0.549865453705842	0.46744772982029614	0.4977095999923859
ring+xor_32_1000	0.16666666666666666	0.20833333333333334	0.537997406082271	0.5353403228461305	0.5061506625545878	0.5290119825163955
ring+xor_64_1000	0.041666666666666664	0.125	0.5782105365523812	0.6014500485209163	0.5185768737061295	0.5505659297424816
ring+xor_128_1000	0.041666666666666664	0.041666666666666664	0.5407910717988902	0.5634645518038067	0.49739054771469693	0.5373064060639732
ring+xor_256_1000	0.0	0.0	0.5589075809333122	0.5579992413310176	0.490654582312032	0.5056013736791521
ring+xor_512_1000	0.0	0.0	0.5504500700470395	0.5548086134085696	0.4964594054168261	0.5193157610889586
ring+xor_1024_1000	0.0	0.0	0.5192051634476297	0.5553334429032505	0.4793577309292825	0.5320408038758776
ring+xor_2048_1000	0.0	0.0	0.529111372588263	0.5309871686650435	0.5370607241818488	0.5468464023810392
