Dataset	CancelOut_Softmax_bestK	CancelOut_Softmax_best2K	CancelOut_Softmax_TrainAUC	CancelOut_Softmax_TrainAUPRC	CancelOut_Softmax_AUC	CancelOut_Softmax_AUPRC
ring_2_1000	1.0	1.0	0.624859372815934	0.5578892293596699	0.6033594326099756	0.5543382517483991
ring_4_1000	0.25	1.0	0.5461147284628352	0.5111019134004993	0.5067018803749596	0.48208656419166757
ring_8_1000	0.16666666666666666	0.4166666666666667	0.5229466679731579	0.49511004973654277	0.5099913942928814	0.4919729436632647
ring_16_1000	0.0	0.08333333333333333	0.5231219967312463	0.5266239154364617	0.5083617297780153	0.5391938144318454
ring_32_1000	0.08333333333333333	0.08333333333333333	0.5362720771465246	0.5566301518194622	0.49042216957995727	0.5255633099535318
ring_64_1000	0.08333333333333333	0.16666666666666666	0.5554535418071259	0.5614943248760391	0.5079984917348338	0.5465077799192565
ring_128_1000	0.0	0.0	0.5671208493497403	0.5975112052277035	0.5059648446389713	0.5546562999758811
ring_256_1000	0.0	0.0	0.544172869298968	0.5404375615880251	0.5032085453537735	0.4998372426248898
ring_512_1000	0.0	0.0	0.5222934432790091	0.5309744568247279	0.4975755929187447	0.5244668792884162
ring_1024_1000	0.0	0.0	0.508639743391178	0.5356090757869233	0.5012538436615641	0.5334769575155461
ring_2048_1000	0.0	0.0	0.5222171616961588	0.5085635953489961	0.5073764198602214	0.5028562712701726
