Dataset	CancelOut_Softmax_bestK	CancelOut_Softmax_best2K	CancelOut_Softmax_TrainAUC	CancelOut_Softmax_TrainAUPRC	CancelOut_Softmax_AUC	CancelOut_Softmax_AUPRC
xor_2_1000	1.0	1.0	0.9991781481261351	0.9991852074779946	0.9992533567964602	0.9992276554983629
xor_4_1000	1.0	1.0	0.9067939921712549	0.9195274718150778	0.8949128745508453	0.9069912765476508
xor_8_1000	0.16666666666666666	0.3333333333333333	0.5177337466130458	0.5253671013383937	0.48972705989371706	0.5079397034070089
xor_16_1000	0.16666666666666666	0.3333333333333333	0.5468826288067857	0.5352848451681386	0.4883217136631432	0.5159558142625912
xor_32_1000	0.0	0.16666666666666666	0.5700611351808049	0.5471571172069885	0.4605745958831862	0.46971503362808215
xor_64_1000	0.0	0.08333333333333333	0.5619587256581347	0.549515975535155	0.5041685976065785	0.513004994174605
xor_128_1000	0.0	0.08333333333333333	0.5230801885584643	0.5576764044081072	0.5091387650065126	0.5507882138102587
xor_256_1000	0.08333333333333333	0.16666666666666666	0.5628761071904064	0.5476561428004331	0.5243711325547918	0.5288498676908686
xor_512_1000	0.0	0.0	0.5287990116990123	0.5319748091756346	0.49479106744436757	0.5008303586288051
xor_1024_1000	0.0	0.0	0.5164239762080854	0.4959438632557125	0.5030421387667031	0.49694647045300605
xor_2048_1000	0.0	0.0	0.5202225651331162	0.5237988060635165	0.4973645620224508	0.5057193340848657
