Dataset	DeepPINK_bestK	DeepPINK_best2K	DeepPINK_TrainAUC	DeepPINK_TrainAUPRC	DeepPINK_AUC	DeepPINK_AUPRC
ring+xor+sum_6_1000	1.0	1.0	0.583998221311791	0.5562213454039493	0.5424302610476658	0.5247752251637396
ring+xor+sum_8_1000	0.8611111111111112	1.0	0.5667889426312628	0.5570224394843943	0.5693955560879863	0.557831604476216
ring+xor+sum_16_1000	0.3333333333333333	0.861111111111111	0.5121283120042807	0.4909996324881673	0.5223730382254409	0.5075301875844145
ring+xor+sum_32_1000	0.3611111111111111	0.5555555555555555	0.5103558759556989	0.5044378211480322	0.481196377033789	0.4961926457710401
ring+xor+sum_64_1000	0.13888888888888887	0.16666666666666666	0.5	0.5139988849256728	0.5	0.5139720558882236
ring+xor+sum_128_1000	0.027777777777777776	0.08333333333333333	0.5077842153810677	0.5248399572901634	0.4818075117370892	0.5030261173378459
ring+xor+sum_256_1000	0.05555555555555555	0.08333333333333333	0.5	0.5010011198724095	0.5	0.5010280643532212
ring+xor+sum_512_1000	0.0	0.0	0.5013303956965929	0.5132075997713803	0.5149775098095511	0.5220283210630868
ring+xor+sum_1024_1000	0.027777777777777776	0.027777777777777776	0.5	0.5029995211513862	0.5	0.5029879999038068
ring+xor+sum_2048_1000	0.0	0.0	0.5044705622546535	0.47703168511417954	0.5110698869974296	0.47899444114798784
