Dataset	DeepPINK_bestK	DeepPINK_best2K	DeepPINK_TrainAUC	DeepPINK_TrainAUPRC	DeepPINK_AUC	DeepPINK_AUPRC
ring+xor_4_250	1.0	1.0	0.5222436487701663	0.592542074549316	0.42562265189921283	0.5259058030380312
ring+xor_8_250	0.5833333333333334	1.0	0.5688490401360305	0.6044652899620899	0.44077682704828014	0.5383587906058787
ring+xor_16_250	0.2916666666666667	0.5833333333333334	0.5521724712144459	0.537194281255086	0.53552305120306	0.5444252753479375
ring+xor_32_250	0.125	0.25	0.5677838928454765	0.6098281935540423	0.5483094406864429	0.621953981033453
ring+xor_64_250	0.041666666666666664	0.16666666666666666	0.6047200109907339	0.627723040047197	0.48434726906041053	0.557459956826922
ring+xor_128_250	0.08333333333333333	0.125	0.5728502420909861	0.5713859280450538	0.47582105888607434	0.5010305416230186
ring+xor_256_250	0.0	0.0	0.5585481907564388	0.5883209490812134	0.5057478284809521	0.539370310738385
ring+xor_512_250	0.0	0.0	0.6360101075975816	0.6837404005167181	0.44279923231343893	0.5256077467406624
ring+xor_1024_250	0.0	0.041666666666666664	0.4725327938031929	0.48569740831893143	0.4753615496696025	0.5021216720781644
ring+xor_2048_250	0.0	0.0	0.5847499685720163	0.5768579111763116	0.540004787805846	0.5419706723936059
