Dataset	DeepPINK_bestK	DeepPINK_best2K	DeepPINK_TrainAUC	DeepPINK_TrainAUPRC	DeepPINK_AUC	DeepPINK_AUPRC
ring_2_1000	1.0	1.0	0.5003302970628151	0.47905766905918806	0.4973016042701952	0.4952407986917808
ring_4_1000	0.5833333333333334	1.0	0.5090495128596974	0.49941028388577263	0.4772311204641506	0.4717423170527348
ring_8_1000	0.16666666666666666	0.4166666666666667	0.49898360864768104	0.4778953215133754	0.4784188630806432	0.4717220143419573
ring_16_1000	0.0	0.16666666666666666	0.5019233814720959	0.5099463106910163	0.48970489603525896	0.49730476349099567
ring_32_1000	0.16666666666666666	0.16666666666666666	0.5	0.5149990451816218	0.5	0.5149760719524806
ring_64_1000	0.0	0.0	0.5021102413191032	0.5185275912903116	0.49148925968546225	0.5123051082614541
ring_128_1000	0.0	0.0	0.5062982303452278	0.5482740734416388	0.48864950838635046	0.5331599099571999
ring_256_1000	0.0	0.0	0.5001773540505935	0.4951046234010205	0.5	0.49501599211216124
ring_512_1000	0.0	0.0	0.5035455674638425	0.5148584065172327	0.49256550009562056	0.5053253052972005
ring_1024_1000	0.0	0.0	0.5	0.5280011285089575	0.5	0.5280282807878219
ring_2048_1000	0.0	0.0	0.5	0.4889989568969075	0.5	0.4889738595098958
