Dataset	FSNet_bestK	FSNet_best2K	FSNet_AUC	FSNet_AUPRC
ring+xor+sum_6_1000	1.0	1.0	0.8107066549185825	0.8516779188297647
ring+xor+sum_8_1000	0.8055555555555557	1.0	0.8292463847117945	0.861989222170045
ring+xor+sum_16_1000	0.4166666666666667	0.7777777777777777	0.6984264635468436	0.7404406849373859
ring+xor+sum_32_1000	0.5277777777777778	0.6944444444444445	0.7054897074077959	0.7305021501589847
ring+xor+sum_64_1000	0.19444444444444445	0.25	0.5744931676575561	0.5629698693886159
ring+xor+sum_128_1000	0.19444444444444442	0.3055555555555555	0.6020255792933781	0.6163652623889092
ring+xor+sum_256_1000	0.1111111111111111	0.13888888888888887	0.5498848987387525	0.5629606274406292
ring+xor+sum_512_1000	0.05555555555555555	0.1111111111111111	0.541057745252021	0.542637661699691
ring+xor+sum_1024_1000	0.027777777777777776	0.027777777777777776	0.5190610175533089	0.5228940335669993
ring+xor+sum_2048_1000	0.0	0.0	0.5316816959683167	0.5499291816372437
