Dataset	FSNet_bestK	FSNet_best2K	FSNet_AUC	FSNet_AUPRC
ring+xor_4_1000	1.0	1.0	0.9247282283837298	0.933772123534375
ring+xor_8_1000	0.5833333333333334	1.0	0.8077639994860709	0.848625406746815
ring+xor_16_1000	0.5833333333333334	0.7083333333333334	0.7944124183189366	0.8590782445350712
ring+xor_32_1000	0.20833333333333334	0.25	0.5415930409725792	0.5267871627685877
ring+xor_64_1000	0.125	0.25	0.5000183995985353	0.5375927940237376
ring+xor_128_1000	0.0	0.041666666666666664	0.4942666435658496	0.5201984082927328
ring+xor_256_1000	0.041666666666666664	0.08333333333333333	0.5093468795232664	0.5217583751559232
ring+xor_512_1000	0.0	0.0	0.49671920458283036	0.532556488702193
ring+xor_1024_1000	0.0	0.0	0.5028741659226984	0.5220669351700127
ring+xor_2048_1000	0.0	0.0	0.48883407496640746	0.5373188514840639
