Dataset	FSNet_bestK	FSNet_best2K	FSNet_AUC	FSNet_AUPRC
ring_2_1000	1.0	1.0	0.996705937342714	0.9967984008102467
ring_4_1000	0.8333333333333334	1.0	0.9857148479508377	0.9870543501010789
ring_8_1000	0.16666666666666666	0.5833333333333334	0.6491912564739089	0.6397390752144463
ring_16_1000	0.16666666666666666	0.16666666666666666	0.5259795544437361	0.5474504705071833
ring_32_1000	0.0	0.0	0.5256178055771793	0.5754254167690008
ring_64_1000	0.08333333333333333	0.25	0.5216132613955575	0.5186162433398218
ring_128_1000	0.0	0.0	0.5144843391712065	0.5200847853128799
ring_256_1000	0.0	0.0	0.4926370098113655	0.5189346768878611
ring_512_1000	0.08333333333333333	0.08333333333333333	0.4789890079137697	0.5088468443861963
ring_1024_1000	0.0	0.0	0.5074078269201304	0.5340853121106381
ring_2048_1000	0.0	0.0	0.5022504637714232	0.5069124137218043
