Dataset	FSNet_bestK	FSNet_best2K	FSNet_AUC	FSNet_AUPRC
xor_2_1000	1.0	1.0	0.999512769795699	0.999466181367727
xor_4_1000	1.0	1.0	0.9990346731156036	0.9990898334913467
xor_8_1000	0.6666666666666666	0.8333333333333334	0.8374789835775346	0.8640451914342296
xor_16_1000	0.25	0.5833333333333334	0.6225241672229941	0.6325443590079168
xor_32_1000	0.5	0.75	0.519822478568736	0.5537884479071231
xor_64_1000	0.0	0.0	0.5022613339313852	0.552802884831948
xor_128_1000	0.0	0.08333333333333333	0.5055229588318094	0.5423631949408454
xor_256_1000	0.0	0.0	0.4709212462059508	0.5005561629443518
xor_512_1000	0.0	0.0	0.4646960241665033	0.483339298882455
xor_1024_1000	0.0	0.0	0.5286827377585575	0.5089120715786523
xor_2048_1000	0.0	0.0	0.4919362965108746	0.5099834157789767
