Dataset	MI_bestK	MI_best2K
ring+xor+sum_6_1000	1.0	1.0
ring+xor+sum_8_1000	0.8333333333333334	1.0
ring+xor+sum_16_1000	0.5555555555555555	0.8888888888888888
ring+xor+sum_32_1000	0.47222222222222215	0.6666666666666666
ring+xor+sum_64_1000	0.4444444444444444	0.5833333333333334
ring+xor+sum_128_1000	0.3055555555555555	0.4444444444444444
ring+xor+sum_256_1000	0.25	0.3055555555555556
ring+xor+sum_512_1000	0.16666666666666666	0.22222222222222224
ring+xor+sum_1024_1000	0.1111111111111111	0.13888888888888887
ring+xor+sum_2048_1000	0.0	0.027777777777777776
