Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
ring+xor+sum_6_1000	0.818176617222237	0.8369289593907866	0.7937297105465184	0.814386835810828
ring+xor+sum_8_1000	0.8521611909044015	0.870917781243059	0.8274834709400832	0.8468417824706163
ring+xor+sum_16_1000	0.8545630007130808	0.8627044063448288	0.772937615203122	0.7907229046405848
ring+xor+sum_32_1000	0.9117819568181581	0.9126135677817869	0.6936079621039027	0.717667348726256
ring+xor+sum_64_1000	0.9415551029430209	0.9341505756937462	0.6364895538069016	0.661826255235554
ring+xor+sum_128_1000	0.9496318104661037	0.9409474921724152	0.6079842303548678	0.6220910676229054
ring+xor+sum_256_1000	0.9393185468270221	0.9302643777941544	0.577106532544499	0.5637903279282884
ring+xor+sum_512_1000	0.9500437712355186	0.940382829865448	0.5623639669752897	0.5907443471001671
ring+xor+sum_1024_1000	0.9525481038100265	0.9421213179276773	0.510257473397639	0.53507844327712
ring+xor+sum_2048_1000	0.9689534754702382	0.9637892108510043	0.5280477483511153	0.522556196019904
