Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
ring+xor_4_250	0.7852196957397873	0.8357067586320431	0.7248520249349769	0.7948214988169743
ring+xor_8_250	0.740644974749043	0.7781158107438806	0.604105898656814	0.6532263109721237
ring+xor_16_250	0.8774286857488756	0.8669625753541245	0.6049139918511878	0.6475673089353761
ring+xor_32_250	0.8164515216188536	0.8262089161386971	0.5003232030668149	0.5971634835501932
ring+xor_64_250	0.9396056249546377	0.9382935404290039	0.4518288396189671	0.51301662709175
ring+xor_128_250	0.9160466254396438	0.9036511221027781	0.5109762485536479	0.5423304623677159
ring+xor_256_250	0.9455450827768095	0.9321160827729701	0.4977387198783079	0.5733164406390617
ring+xor_512_250	0.9735320761160734	0.979406508657504	0.5616324872474757	0.6166254198438009
ring+xor_1024_250	0.975122772382491	0.9767452930188968	0.5253508929826082	0.5611027652814758
ring+xor_2048_250	0.9833038314452093	0.983910905392665	0.5234338801224766	0.5533669630277278
