Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
ring_2_500	0.707400923486079	0.6522747282688616	0.669622518229121	0.6236912112993983
ring_4_500	0.6414014019962663	0.5948858623311367	0.5115542274565977	0.5199585904833741
ring_8_500	0.7022123419695196	0.7100730638339252	0.5677818709309915	0.5855668763347391
ring_16_500	0.7421869257945133	0.7381398268517283	0.4830725897856883	0.5231765226613119
ring_32_500	0.8391469502733281	0.8428717745515915	0.5063353097232731	0.5682569768077571
ring_64_500	0.8992164447330331	0.8867693127313049	0.46681814916824765	0.5036874301377138
ring_128_500	0.9107314394627496	0.887771100535939	0.5030719995567107	0.5361322888596296
ring_256_500	0.9401149776835555	0.9172826295066415	0.5047507843321161	0.5314664273881708
ring_512_500	0.9615328249754795	0.9452415157618862	0.5317370748600104	0.5549911538150809
ring_1024_500	0.9662609850279907	0.9585149005314854	0.46416928937684393	0.5060950905628685
ring_2048_500	0.9801829017648727	0.9801128489341226	0.5032610672066311	0.5070265088246357
