Dataset	NN_TrainAUC	NN_TrainAUPRC	NN_AUC	NN_AUPRC
xor_2_1000	0.9991824681005106	0.9991892467929425	0.9988181518353931	0.9988154455403597
xor_4_1000	0.9988269246025329	0.9988963389805798	0.9975706489510352	0.9977633944618627
xor_8_1000	0.9470581036065534	0.9441935840020003	0.9459277875359726	0.9499466531657484
xor_16_1000	0.997300998197756	0.9973521663656394	0.9913217765708159	0.9915576228865369
xor_32_1000	0.9348554890544403	0.9287820726425177	0.8921115609611916	0.8859240955812284
xor_64_1000	0.9750461295530094	0.9741065313918486	0.8566245449090385	0.8427169284770791
xor_128_1000	0.9190646220592358	0.9177622494902006	0.578892562224671	0.6177807772418913
xor_256_1000	0.9211562397936514	0.9125379683499751	0.5413370726676462	0.5307898552902318
xor_512_1000	0.9152071526489962	0.8988382617975849	0.5060261399639467	0.5256790821932504
xor_1024_1000	0.936248643395821	0.9272381803597222	0.47845389694857055	0.4844887813325785
xor_2048_1000	0.9599562037645688	0.9524416409389422	0.49279174112633717	0.50257230032041
